category,brand,asin,revenue,units,bsr
Omega,Nordic Naturals,B000VKT35C,44343,9,44967
Omega,Seven Seas,B084FY8W62,20072,13,45347
Omega,St.Botanica,B01DGO76N0,0,1,46564
Omega,ZINZINO,B09DXGDN7Q,0,43,44675
Omega,FORTAY,B0CTHT65XF,0,0,47974
Omega,THE ZOAVA FOOD CO.,B0CSYDPKHH,13250,5,48054
Omega,NCB,B000638OWM,31152,11,50932
Omega,Green Pasture,B00OZHWX1I,61688,8,50975
Omega,Dcom,B0CLVN6RSR,0,0,51015
Omega,OPTIMUM NUTRITION,B00M6NT438,0,17,51639
Omega,Blackmores,B0B2JWWFTH,0,14,47998
Omega,Seven Seas,B079GTSBCN,15393,7,52605
Omega,QUARANT,B0C4TJTK6Y,0,3,56088
Omega,Amazon Brand - Solimo,B07RR5HWKN,0,1,57787
Omega,Generic,B0CW9Z93ZT,94489,61,58062
Omega,Natures Aid,B002F58P5K,0,1,58064
Omega,New Chapter,B002FU6I9K,81588,12,58160
Omega,QUARANT,B0C4THMF9K,0,0,59540
Omega,Nature Made,B004U3Y9FU,47481,19,59672
Omega,Pure Nutrition Naturals,B08J8C9265,0,5,60408
Omega,Carbamide Forte,B083QHR8HW,0,0,65756
Omega,Dcom,B079GY77GX,53676,27,67501
Omega,Garden of Life,B0001VKXYG,12072,3,67623
Omega,Generic,B0C2D52FFV,16475,5,68422
Omega,SOLGAR,B0001VW01K,88319,31,69273
Omega,Generic,B0CWRZW4K7,0,0,70535
Omega,Hi-Mobiler,B0CYX44L3S,0,0,71597
Omega,DICKINSONS,B0CY9SFRD9,0,0,72743
Omega,Nature's Bounty,B00BB2BXQ6,41988,12,75731
Omega,TOPGUN FITNESS,B0BSFTWQ57,13000,26,76063
Omega,Hohner,B096RNB6QX,11430,10,78505
Omega,DIVINE NUTRITION LIMITED EDITION BY SAHIL KHAN,B0BN3YTRJX,3975,3,78762
Omega,Dr. Berg Nutritionals,B08DHKD7N1,51291,9,78958
Omega,Carlson,B00014D08Y,51471,9,80899
Omega,Dcom,B0CRTF7279,0,0,82115
Omega,Carlson,B003B3P4PY,60000,10,82644
Omega,LA NATURE'S WE CARE YOUR HEALTH,B08NCBYWVB,8775,39,33054
Omega,Seven Seas,B07C1DYDKW,5697,3,83527
Omega,GNC,B083G6KTJH,0,0,83561
Omega,Svizera Health Remedies,B07BFQF3QC,0,1,84768
Omega,Naturyz,B0C65DHRXW,1156688,871,2458
Omega,MuscleXP,B07KK75CL2,11703,47,21427
Omega,Nature's Bounty,B00225UVDC,9898,7,93359
Omega,BeWell Australia,B08KY7474R,4140,6,95130
Omega,WISHNEW WELLNESS,B0CMXNHHPS,46956,42,45436
Omega,nature's velvet,B01HRWV372,1995,5,97720
Omega,Generic,B0CKF6QNXR,10900,4,98161
Omega,Dropi,B0196FO35M,0,5,98980
Omega,Nature Made,B004GJVD2K,11994,3,99746
Water Purifier,Aquaguard,B09YLWT89W,77540337,8163,64
Water Purifier,AQUA D PURE,B0BJ6P3LSK,13348207,2543,370
Water Purifier,HUL Pureit,B08BJN4MP3,19570602,1398,886
Water Purifier,KENT,B09F2FW4ZK,19864228,1172,1044
Water Purifier,AQUA D PURE,B0BJ6P3LSK,34086360,6820,119
Water Purifier,V-Guard,B07FJNNZCJ,7364763,837,1603
Water Purifier,HUL Pureit,B08B27R8MP,5550930,567,1966
Water Purifier,Livpure,B09X1P3J6G,27575597,2903,648
Water Purifier,Native by UC,B0CR1DTPD2,35972019,2481,767
Water Purifier,HUL Pureit,B09M45XKKF,1032284,116,2644
Water Purifier,AQUA D PURE,B0B79QLL1K,2909151,549,2721
Water Purifier,AQUA D PURE,B0BLLJDJ1Q,2764447,553,3206
Water Purifier,AQUAULTRA,B0C4TYTK78,705640,236,3305
Water Purifier,KENT,B0085KK9OY,764127,273,3743
Water Purifier,KENT,B09F2FW4ZK,47426382,2718,777
Water Purifier,HUL Pureit,B0B8TBZFHG,5901093,407,4261
Water Purifier,Livpure,B09X1P3J6G,4770752,448,4400
Water Purifier,HUL Pureit,B094YD54TC,1827553,247,4538
Water Purifier,PROVEN,B0B7FJNSZR,1785745,331,4577
Water Purifier,KENT,B009DA69KS,617487,213,4615
Water Purifier,TATA Swach,B07D3R62MH,846885,303,4839
Water Purifier,KENT,B01HXUJB2W,2497167,333,5176
Water Purifier,AQUA LIBRA WITH DEVICE,B0BLHZ7Z8V,887778,222,5420
Water Purifier,HUL Pureit,B08BJN4MP3,24876223,1777,1299
Water Purifier,HUL Pureit,B07MWBVTLP,19350320,880,5952
Water Purifier,R.K. AQUA FRESH INDIA,B0792Y3PCW,913297,203,6075
Water Purifier,Faber,B0B5DZHTZ4,676870,113,6116
Water Purifier,Havells,B0B4981KGD,2556480,320,6224
Water Purifier,Kinsco,B09GLW2F7L,8784803,1997,1424
Water Purifier,AQUA LIBRA WITH DEVICE,B0C1ZPQ3Z4,603849,151,6414
Water Purifier,KENT,B00GX91YA2,545198,202,6434
Water Purifier,KENT,B09TZTFSHT,3549271,229,6997
Water Purifier,Havells,B09NW3T1NY,2249900,100,7048
Water Purifier,Aquaguard,B096NTB9XT,21140636,1364,1887
Digestive and Nausea for Eno,Zandu,B0CD7JWPXF,1436500,6500,415
Water Purifier,RAMA,B01B1UQPHE,572148,138,7556
Water Purifier,AQUAULTRA,B09SFCSCVY,710600,170,7645
Water Purifier,Kinsco,B09GLW2F7L,722661,139,7819
Water Purifier,MORNA,B0BTSPQHH7,1063120,274,8601
Water Purifier,AO Smith,B07NYQS8JF,1006894,106,8807
Water Purifier,Livpure,B09JM2SGSX,1677000,130,8839
Water Purifier,ADDYZ,B0C72F5BCC,414091,109,9043
Water Purifier,AO Smith,B0755JMLFV,4409825,175,9291
Water Purifier,Livpure,B0BVBKT5YC,1732335,165,10227
Water Purifier,Kinsco,B09GLVM5ZD,678272,128,10442
Water Purifier,KENT,B09CGQ6FCK,2169064,136,10444
Water Purifier,TATA Swach,B097SS7JKS,964323,327,11029
Water Purifier,A.O.Smith,B07F5M6GKY,2533677,123,12325
Water Purifier,Blue Star,B07MQ5X54S,890901,99,12684
Water Purifier,HUL Pureit,B096XHHTVC,337542,39,12973
Water Purifier,AQUAULTRA,B0C6MYK6TW,0,62,14449
Water Purifier,Livpure,B0B25D1JHC,0,118,14719
Water Purifier,AO Smith,B09NQ1K1D9,2087856,144,14835
Water Purifier,Havells,B09DLK4LKX,1359864,136,15048
Water Purifier,Aquatec plus,B09MCXCDPT,500625,89,15204
Water Purifier,KENT,B07PZPN3J9,2385458,142,15214
Water Purifier,Livpure,B01JLRXIQK,689430,70,15487
Water Purifier,AQUA D PURE,B0C8HN3F1R,0,0,15636
Water Purifier,KENT,B0095SD3BQ,210210,78,15868
Water Purifier,Kinsco,B08JZH6RCK,271341,59,16642
Water Purifier,R.K. AQUA FRESH INDIA,B09V83KBYN,516890,110,16692
Water Purifier,AQUA D PURE,B0C8HK8DV2,0,0,16833
Water Purifier,AQUAULTRA,B09Z2KDRZW,261760,64,17168
Water Purifier,PROVEN,B08GZ8YF5B,4117464,936,2011
Water Purifier,PROVEN,B0B7FJNSZR,6735029,1271,2054
Water Purifier,LifeStraw,B089QW743Q,171451,49,18094
Water Purifier,AQUA D PURE,B07XXRJJT5,657906,94,18110
Water Purifier,Livpure,B0BNNPQXCB,1065180,82,18113
Water Purifier,ADDYZ,B0928HV5LQ,331917,83,18227
Water Purifier,Aqua Ace,B0C5RMHZNN,244752,48,18278
Water Purifier,PROVEN,B0BQ76BKQR,592704,96,18298
Water Purifier,AQUA D PURE,B0BXP6Y1JX,471611,89,18664
Water Purifier,RAMA,B0BVFZ3MSS,216720,84,18760
Water Purifier,Blue Star,B08J8H8G74,1055040,96,18813
