word,brand,frequency,analysis
filters,KENT,26,Positive
fine,Kinsco,26,Positive
good,Generic,26,Positive
good,Livpure,26,Negative
installation,Havells,26,Positive
installed,Aquaguard,26,Positive
membrane,KENT,26,Negative
money,AQUA D PURE,26,Positive
need,Aquaguard,26,Negative
product,Generic,26,Positive
product,R.K. AQUA FRESH INDIA,26,Positive
ro,HUL Pureit,26,Positive
rs,Aquaguard,26,Negative
tap,RAMA,26,Positive
using,AO Smith,26,Positive
working,HUL Pureit,26,Positive
2,Native by UC,25,Positive
best,HUL Pureit,25,Positive
buy,Livpure,25,Positive
done,Aquaguard,25,Positive
filter,HUL Pureit,25,Positive
filters,Aquaguard,25,Negative
forbes,Aquaguard,25,Positive
like,PROVEN,25,Positive
nice,AO Smith,25,Positive
overall,Aquaguard,25,Positive
product,AQUA D PURE,25,Negative
product,KENT,25,Neutral
products,Aquaguard,25,Negative
purifier,PEORE,25,Positive
quality,Livpure,25,Negative
rs,KENT,25,Negative
time,AQUA D PURE,25,Positive
time,Kinsco,25,Positive
use,KENT,25,Positive
using,Havells,25,Positive
works,Aquaguard,25,Positive
30,Livpure,24,Positive
4,KENT,24,Negative
also,AO Smith,24,Positive
bought,Aquaguard,24,Positive
call,KENT,24,Negative
called,KENT,24,Negative
could,Aquaguard,24,Positive
customer,Livpure,24,Positive
days,KENT,24,Positive
filter,PEORE,24,Positive
good,HOME-PRO,24,Positive
great,Havells,24,Positive
install,KENT,24,Negative
months,Aquaguard,24,Positive
never,Aquaguard,24,Negative
new,KENT,24,Negative
parts,KENT,24,Negative
person,HUL Pureit,24,Positive
purchase,Aquaguard,24,Positive
quality,Livpure,24,Positive
replaced,KENT,24,Negative
taste,KENT,24,Positive
time,Livpure,24,Negative
time,PROVEN,24,Positive
warranty,KENT,24,Positive
also,Native by UC,23,Positive
budget,Kinsco,23,Positive
could,KENT,23,Neutral
faber,Faber,23,Positive
filter,PROVEN,23,Positive
go,KENT,23,Negative
good,AQUA LIBRA WITH DEVICE,23,Positive
good,HUL Pureit,23,Negative
great,Aquaguard,23,Positive
great,Livpure,23,Positive
happy,Livpure,23,Positive
installation,HUL Pureit,23,Neutral
installation,PEORE,23,Positive
like,Kinsco,23,Positive
looks,Aquaguard,23,Positive
money,HUL Pureit,23,Positive
need,KENT,23,Positive
overall,AO Smith,23,Positive
purchase,Aquaguard,23,Negative
purchase,Livpure,23,Positive
purifier,Native by UC,23,Positive
rama,RAMA,23,Positive
ro,Aquaguard,23,Negative
ro,Livpure,23,Negative
said,Aquaguard,23,Negative
since,KENT,23,Negative
stopped,KENT,23,Negative
tds,Aquaguard,23,Positive
uc,Native by UC,23,Positive
6,KENT,22,Negative
amazon,Livpure,22,Positive
call,Livpure,22,Positive
change,KENT,22,Positive
come,KENT,22,Negative
could,HUL Pureit,22,Positive
done,V-Guard,22,Positive
don't,KENT,22,Positive
easy,HUL Pureit,22,Positive
experience,Aquaguard,22,Negative
get,Aquaguard,22,Negative
go,Aquaguard,22,Negative
great,AO Smith,22,Positive
happy,AO Smith,22,Positive
kent,KENT,22,Neutral
machine,Aquaguard,22,Negative
one,Livpure,22,Positive
product,HUL Pureit,22,Neutral
quality,Aquatec plus,22,Positive
really,PROVEN,22,Positive
replace,Aquaguard,22,Negative
replacement,KENT,22,Negative
tank,Aquaguard,22,Positive
tds,Livpure,22,Negative
time,Livpure,22,Positive
value,AQUA D PURE,22,Positive
within,Aquaguard,22,Negative
years,KENT,22,Positive
3,KENT,21,Positive
5,Aquaguard,21,Positive
also,Livpure,21,Negative
around,Aquaguard,21,Negative
buy,Livpure,21,Negative
care,Aquaguard,21,Positive
could,HUL Pureit,21,Neutral
done,PROVEN,21,Positive
don't,Livpure,21,Negative
ever,Aquaguard,21,Negative
filter,Livpure,21,Negative
get,KENT,21,Positive
happy,Aquaguard,21,Positive
install,Aquaguard,21,Positive
installed,KENT,21,Positive
loaded,HUL Pureit,21,Neutral
loaded,KENT,21,Neutral
media,HUL Pureit,21,Neutral
media,KENT,21,Neutral
one,Havells,21,Positive
one,HUL Pureit,21,Positive
overall,Livpure,21,Positive
purchased,Aquaguard,21,Negative
purifier,Havells,21,Negative
really,HUL Pureit,21,Positive
replace,KENT,21,Negative
ro,Havells,21,Positive
still,Aquaguard,21,Negative
tap,Livpure,21,Negative
technician,Livpure,21,Positive
technician,V-Guard,21,Positive
using,KENT,21,Negative
value,KENT,21,Positive
well,PROVEN,21,Positive
,Aquaguard,20,Positive
,HUL Pureit,20,Positive
1,Aquaguard,20,Positive
5,KENT,20,Negative
allura,Livpure,20,Positive
best,Livpure,20,Positive
bought,Aquaguard,20,Negative
could,KENT,20,Positive
day,Aquaguard,20,Positive
delivery,KENT,20,Positive
done,AQUA D PURE,20,Positive
filter,Kinsco,20,Positive
installed,Kinsco,20,Positive
loaded,Aquaguard,20,Positive
loaded,HUL Pureit,20,Positive
media,Aquaguard,20,Positive
media,HUL Pureit,20,Positive
never,KENT,20,Negative
one,AQUA D PURE,20,Positive
products,Aquaguard,20,Positive
properly,KENT,20,Negative
pureit,HUL Pureit,20,Negative
quality,Aquaguard,20,Negative
really,AO Smith,20,Positive
ro,Native by UC,20,Positive
storage,Aquaguard,20,Positive
taste,HUL Pureit,20,Positive
taste,KENT,20,Negative
team,Aquaguard,20,Negative
technician,AQUA D PURE,20,Positive
time,HUL Pureit,20,Negative
use,HUL Pureit,20,Positive
use,KENT,20,Negative
water,BRITA,20,Positive
well,AQUA D PURE,20,Positive
well,Havells,20,Positive
without,Aquaguard,20,Positive
working,Havells,20,Positive
6,KENT,19,Positive
affordable,Kinsco,19,Positive
awesome,Aquaguard,19,Positive
bad,Livpure,19,Negative
bought,KENT,19,Negative
buy,AQUA D PURE,19,Positive
came,Aquaguard,19,Negative
come,Aquaguard,19,Negative
