asin,sales,date
B07MWBVTLP,19350320,01-07-2023
B0792Y3PCW,913297,01-07-2023
B0B5DZHTZ4,676870,01-07-2023
B0B4981KGD,2556480,01-07-2023
B09GLW2F7L,8784803,01-04-2024
B0C1ZPQ3Z4,603849,01-07-2023
B00GX91YA2,545198,01-07-2023
B09TZTFSHT,3549271,01-07-2023
B09NW3T1NY,2249900,01-07-2023
B096NTB9XT,21140636,01-04-2024
B0CD7JWPXF,1436500,02-10-2024
B01B1UQPHE,572148,01-07-2023
B09SFCSCVY,710600,01-07-2023
B09GLW2F7L,722661,01-07-2023
B0BTSPQHH7,1063120,01-07-2023
B07NYQS8JF,1006894,01-07-2023
B09JM2SGSX,1677000,01-07-2023
B0C72F5BCC,414091,01-07-2023
B0755JMLFV,4409825,01-07-2023
B0BVBKT5YC,1732335,01-07-2023
B09GLVM5ZD,678272,01-07-2023
B09CGQ6FCK,2169064,01-07-2023
B097SS7JKS,964323,01-07-2023
B07F5M6GKY,2533677,01-07-2023
B07MQ5X54S,890901,01-07-2023
B096XHHTVC,337542,01-07-2023
B0C6MYK6TW,0,01-07-2023
B0B25D1JHC,0,01-07-2023
B09NQ1K1D9,2087856,01-07-2023
B09DLK4LKX,1359864,01-07-2023
B09MCXCDPT,500625,01-07-2023
B07PZPN3J9,2385458,01-07-2023
B01JLRXIQK,689430,01-07-2023
B0C8HN3F1R,0,01-07-2023
B0095SD3BQ,210210,01-07-2023
B08JZH6RCK,271341,01-07-2023
B09V83KBYN,516890,01-07-2023
B0C8HK8DV2,0,01-07-2023
B09Z2KDRZW,261760,01-07-2023
B08GZ8YF5B,4117464,01-04-2024
B0B7FJNSZR,6735029,01-04-2024
B089QW743Q,171451,01-07-2023
B07XXRJJT5,657906,01-07-2023
B0BNNPQXCB,1065180,01-07-2023
B0928HV5LQ,331917,01-07-2023
B0C5RMHZNN,244752,01-07-2023
B0BQ76BKQR,592704,01-07-2023
B0BXP6Y1JX,471611,01-07-2023
B0BVFZ3MSS,216720,01-07-2023
B08J8H8G74,1055040,01-07-2023
B008LN6156,1037220,01-07-2023
B0C5Y1P38P,0,01-07-2023
B0746LH58R,181948,01-07-2023
B0B5RLPY8C,823897,01-07-2023
B0B5HDDX2N,296175,01-07-2023
B09N1NQKTB,288800,01-07-2023
B084V24C9X,124752,01-07-2023
B07YC8CFGN,179985,01-07-2023
B00I8QV2VY,1189300,01-07-2023
B092S563QV,151658,01-07-2023
B0B9HCJ7F4,551931,01-07-2023
B07NJ4V6R7,1744780,01-07-2023
B09NKS8Q2V,18616941,01-04-2024
B0BJ6P3LSK,7136514,01-08-2023
B0B79QLL1K,5301490,01-08-2023
B09F2FW4ZK,17118490,01-08-2023
B08BJN4MP3,9771302,01-08-2023
B0CZB2ZPJK,0,01-04-2024
B003NQESIS,6948690,08-04-2024
B07DD2RZS4,1034660,08-04-2024
B078V9X189,10435488,08-04-2024
B06XFWVWMS,7120776,08-04-2024
B00S850C5C,2771440,08-04-2024
B0B6W5KCRM,9274060,08-04-2024
B07BDNGTYC,3148620,08-04-2024
B09SLWMVCL,1996646,08-04-2024
B0C6ML81SF,4508240,08-04-2024
B08PGDPPM4,4603050,08-04-2024
B002ZVG95W,2785360,08-04-2024
B0CGTZ7CW9,4089572,08-04-2024
B0CR6MRPKD,2661489,08-04-2024
B09G6GWPYP,1094100,08-04-2024
B0BVR6NHWM,2304068,08-04-2024
B0CZRWXV1K,0,08-04-2024
B07GWY28FZ,1463994,08-04-2024
B00CBRJ6H8,1115383,08-04-2024
B09RPQWC7L,1077644,08-04-2024
B0832ZWDHR,1207068,08-04-2024
B07BZN59BS,1138479,08-04-2024
B003O7DXLO,628290,08-04-2024
B0CT5XP93D,623658,08-04-2024
B07NDR2J4K,2543076,08-04-2024
B07MSHC5FZ,2744784,08-04-2024
B0B38NZYXN,1599477,08-04-2024
B0928X4Y6G,1676160,08-04-2024
B07F5NCTN2,1336800,08-04-2024
B0CH8SHN9Z,845853,08-04-2024
B013UQ11JE,621468,08-04-2024
B085W98FZC,807310,08-04-2024
B00U8TQIY0,926730,08-04-2024
B09QKNHJNC,1238910,08-04-2024
B0BH4BV1VL,3374595,08-04-2024
B09J5C7J7L,1188770,08-04-2024
B0CWTTF33F,2138412,08-04-2024
B0CPM2NKLN,1781703,08-04-2024
B074MJ3VX8,766106,08-04-2024
B077C4S9N1,453720,08-04-2024
B09MTMX8ZN,924055,08-04-2024
B082CXT58C,547313,08-04-2024
B0CXQ5LCVY,0,08-04-2024
B07K2JHVRY,2263052,08-04-2024
B00GMC02XK,205095,08-04-2024
B0CGM3H7SN,437465,08-04-2024
B09DS8BR7H,893080,08-04-2024
B0918FHY6P,2171520,08-04-2024
B01MFGFSYS,783442,08-04-2024
B0BR7KNH5N,417530,08-04-2024
B07GR5M1VJ,1142304,08-04-2024
B0828TBY68,485902,08-04-2024
B09N97MGB9,1973277,08-04-2024
B0CLNYD5ZD,875700,08-04-2024
B0CT88JL24,1684800,08-04-2024
B01N1Z7A03,378875,08-04-2024
B009SOS7ZE,929271,08-04-2024
B07DCZGTXP,278690,08-04-2024
B0CFLVWR34,1268657,08-04-2024
B07WLDJS3L,355884,08-04-2024
B0B283MT3P,480420,08-04-2024
B09BMD8SFV,652418,08-04-2024
B0CJ7TZX11,1034580,08-04-2024
B008KH6DDI,324356,08-04-2024
B07Y2BT66G,1222147,08-04-2024
B0982CQFPT,376920,08-04-2024
B077XJCW9P,388800,08-04-2024
B0BFDPQHQ7,346301,08-04-2024
B0824B9GLL,464239,08-04-2024
B0CTX3K4HK,193612,08-04-2024
B0063OQJJI,297360,08-04-2024
B0B12MBSF9,309425,08-04-2024
B00SUTAE6S,2485010,08-04-2024
B0CTHT3PPB,461732,08-04-2024
B08JR2SGJL,294063,08-04-2024
B07KSW7X5G,432752,08-04-2024
B08RK745KP,412056,08-04-2024
B0CCHV3J5W,938336,08-04-2024
B0164FEEGU,147000,08-04-2024
B0CJM85LYX,806000,08-04-2024
B0C4FHM16M,304556,08-04-2024
B0BJX8MHXW,513648,08-04-2024
B07N87S9T8,445016,08-04-2024
B0C8CZNMGX,198341,08-04-2024
B09N9T3RPY,348172,08-04-2024
B00M711DFQ,142632,08-04-2024
B001AO0WCG,4446630,08-04-2024
B013UPR9IC,200564,08-04-2024
B07DHGLKBW,502199,08-04-2024
B0C4FBQCYK,0,08-04-2024
B0CVBH8KJB,406368,08-04-2024
B00NYZ4I7O,101885,08-04-2024
B0CNVTLVJ5,283039,08-04-2024
B073PBQ137,174720,08-04-2024
B07SNCZBM4,95237,08-04-2024
B07Y53R164,282100,08-04-2024
B072N2CBBP,579284,08-04-2024
B09WYS3KFJ,121350,08-04-2024
B0CW66RDY8,138902,08-04-2024
B07YQS1THX,268992,08-04-2024
B0CHK43VHD,284172,08-04-2024
B00QPS8BAW,2142988,17-04-2024
B07Q968G9Q,2207230,17-04-2024
B07T3RB539,2927509,17-04-2024
B07WK74W7T,1280420,17-04-2024
B07D5FG9R5,1141296,17-04-2024
B0B15HXLHQ,811152,17-04-2024
B08HVFY12K,1062262,17-04-2024
B0B725KW8N,3609738,17-04-2024
B00O7XQPN2,533882,17-04-2024
B07SBMKVRV,1716880,17-04-2024
B0177MA6N4,840742,17-04-2024
B0CKSYC6YQ,966264,17-04-2024
B00U8ODRK8,1683495,17-04-2024
B07CVXGQN4,2704805,17-04-2024
B07D5D9Q21,681981,17-04-2024
B09BZDVT4Q,2692550,17-04-2024
B07XV6PBHF,1446585,17-04-2024
B07QWY23DF,1004710,17-04-2024
B0914XMQJ6,849800,17-04-2024
B0949CWPYK,683336,17-04-2024
B01NCRLSB1,345625,17-04-2024
B01LEMUGFG,918840,17-04-2024
B0BWHS95V9,172320,17-04-2024
B0B7S8FXW5,227520,17-04-2024
B087B5N5ZY,670680,17-04-2024
B0CG1VNSNS,686953,17-04-2024
B0CNX8GQ1J,367268,17-04-2024
B08P7TBFLZ,375245,17-04-2024
B07VC4897H,1141690,17-04-2024
B0BWHT54CG,233490,17-04-2024
B082F553VV,450912,17-04-2024
B07RJWVQXL,578200,17-04-2024
B07HTTSX5G,505765,17-04-2024
B0BTPSPP2K,60120,17-04-2024
B0BHX49VF3,1172325,17-04-2024
B092MKBQ2X,325867,17-04-2024
B0BQF65K52,215622,17-04-2024
